L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
51,220502_4.0001.12/90,12/90,Kartuzy - M,1,0.0086,Bz 0.0086,,Nie,Nie,,DANE OSOBOWE
52,220502_4.0001.15/12,15/12,Kartuzy - M,1,0.0024,ŁV 0.0024,,Nie,Nie,,DANE OSOBOWE
53,220502_4.0001.12/91,12/91,Kartuzy - M,1,0.0298,RIVb 0.0298,,Nie,Nie,,DANE OSOBOWE
54,220502_4.0001.12/92,12/92,Kartuzy - M,1,0.0381,RIVb 0.0381,,Nie,Nie,,DANE OSOBOWE
55,220502_4.0001.12/93,12/93,Kartuzy - M,1,0.0142,Bz 0.0142,,Nie,Nie,,DANE OSOBOWE
56,220502_4.0001.14/21,14/21,Kartuzy - M,1,0.0025,ŁV 0.0025,,Nie,Nie,,DANE OSOBOWE
57,220502_4.0001.12/94,12/94,Kartuzy - M,1,0.053,RIVb 0.0530,,Nie,Nie,,DANE OSOBOWE
58,220502_4.0001.75/7,75/7,Kartuzy - M,1,0.0856,Bp-PsIV 0.0856,ul. Prokowska 15,Nie,Nie,,DANE OSOBOWE
59,220502_4.0001.71/6,71/6,Kartuzy - M,1,0.0737,ŁIV 0.0110; PsIV 0.0499; W-PsIV 0.0128,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
60,220502_4.0001.71/4,71/4,Kartuzy - M,1,0.0783,PsIV 0.0783,,Nie,Nie,,DANE OSOBOWE
61,220502_4.0001.70/11,70/11,Kartuzy - M,1,0.0663,B 0.0663,,Nie,Nie,,DANE OSOBOWE
62,220502_4.0001.3/1,3/1,Kartuzy - M,1,0.065,dr 0.0650,,Nie,Nie,,DANE OSOBOWE
